defId,name,rating,positions,nation,league,club,cardType,isWomens,promoName
s0031,R. Gorstad,86,CM|CAM,Rioverde,Ligue Premiere,Beaufort,rare,no,
s0032,E. Rasinho,86,CDM|CM,Polonia,Ligue Premiere,Fontenay,rare,yes,
s0033,L. Berinho,86,ST|CF,Danmarken,Bundesklasse,Dornbach,rare,no,
s0034,E. Ostley,86,CM,Polonia,Premier Division,Comberton,rare,yes,
s0035,J. Renderse,86,ST,Polonia,Liga Primera,Duranza,rare,no,
s0036,F. Hanstad,86,RW|ST,Eiretown,Ligue Premiere,Estrelle,totw,no,
s0037,E. Tamnardo,86,CAM|CF,Germania,Premier Division,Comberton,rare,yes,
s0038,M. Valescu,86,LB|LM,Koria,Liga Primera,Castellano,rare,no,
s0039,B. Lunridge,86,ST,Turkia,Ligue Premiere,Dumarais,rare,no,
s0040,G. Handerse,86,GK,Osteria,Eredivisie Noord,Cuijkstad,rare,no,
s0041,A. Hantinez,86,LB|LM,Germania,Bundesklasse,Adlerberg,totw,yes,
s0042,M. Berescu,86,LW|ST,Osteria,Bundesklasse,Adlerberg,rare,no,
s0043,A. Hanstad,86,CM|CAM,Eiretown,Ligue Premiere,Aubertin,rare,no,
s0044,V. Nurridge,86,GK,Hispania,Premier Division,Comberton,rare,no,
s0045,R. Ostinho,86,LW|ST,Senegalia,Liga Primera,Elvira CF,rare,no,
s0046,V. Ostaoui,86,LW|ST,Albion,Ligue Premiere,Chalonne,rare,no,
s0047,G. Lunaoui,86,ST,Batavia,Liga Primera,Duranza,rare,no,
s0048,A. Pelinho,86,LM|LW,Koria,Premier Division,Brackley City,rare,no,
s0049,S. Tamnardo,86,LB|LM,Japonia,Bundesklasse,Freistadt,rare,no,
s0050,B. Margaard,86,LM|LW,Polonia,Ligue Premiere,Aubertin,rare,no,
s0051,T. Hanzaki,86,RB|RM,Turkia,Liga Primera,Duranza,rare,no,
s0052,P. Kaloulos,86,CM|CAM,Italica,Serie Prima,Cerveto,rare,no,
s0053,A. Ostzaki,86,CM|CAM,Francia,Eredivisie Noord,Broekhof,rare,no,
s0054,V. Hantinez,86,ST|CF,Italica,Serie Prima,Aterno,rare,no,
s0055,P. Hantinez,86,CB,Danmarken,Eredivisie Noord,Cuijkstad,rare,yes,
s0056,A. Marnardo,86,CB|LB,Albion,Eredivisie Noord,Aalsmeer,rare,yes,
s0057,V. Tamovic,86,ST|CF,Danmarken,Serie Prima,Boldini,rare,no,
s0058,T. Vorsson,86,LM|LW,Turkia,Ligue Premiere,Chalonne,rare,no,
s0059,P. Tamridge,85,CM,Batavia,Saudi Elite,Al Rakan,rare,no,
s0060,M. Martinez,85,RW|ST,Germania,Saudi Elite,Al Rakan,rare,no,
s0061,M. Nursson,85,LB|LM,Koria,Premier Division,Fairhaven,rare,no,
s0062,S. Kalgaard,85,CM,Marokka,Liga Sul,Estrela,rare,no,
s0063,P. Lunovic,85,CAM|CF,Caledonia,Saudi Elite,Al Bahri,rare,no,
s0064,T. Vorderse,85,ST,Turkia,Bundesklasse,Freistadt,rare,no,
s0065,P. Valkova,85,CB|RB,Caledonia,Serie Prima,Doriano,rare,yes,
s0066,J. Rasovic,85,LM|LW,Lusitania,Bundesklasse,Eichwald,rare,no,
s0067,J. Dalley,85,RB|RM,Turkia,Eredivisie Noord,Broekhof,rare,no,
s0068,E. Ostkova,85,CDM|CM,Italica,Ligue Premiere,Fontenay,rare,no,
s0069,E. Tamtinez,85,CAM|CF,Caledonia,Saudi Elite,Al Rakan,rare,no,
s0070,E. Nurmann,85,ST|CF,Senegalia,Serie Prima,Boldini,rare,no,
s0071,P. Tammann,85,GK,Polonia,Ligue Premiere,Chalonne,rare,no,
s0072,A. Sorovic,85,GK,Lusitania,Ligue Premiere,Fontenay,rare,no,
s0073,P. Vorescu,85,ST|CF,Italica,Liga Primera,Elvira CF,rare,no,
s0074,E. Luntinez,85,CM,Japonia,Liga Primera,Alcazar,totw,no,
s0075,F. Kalnardo,85,RW|ST,Batavia,Eredivisie Noord,Eemsdijk,rare,no,
s0076,R. Cavderse,85,GK,Francia,Saudi Elite,Al Bahri,rare,no,
s0077,R. Haninho,85,LW|ST,Germania,Liga Sul,Cascavel,rare,no,
s0078,E. Cavoulos,85,CM|CAM,Danmarken,Bundesklasse,Coburg SV,rare,yes,
s0079,J. Hansson,85,CB|RB,Danmarken,Bundesklasse,Adlerberg,rare,no,
s0080,V. Tamgaard,85,RM|RW,Japonia,Premier Division,Comberton,rare,no,
s0081,S. Nuroulos,85,RM|RW,Lusitania,Eredivisie Noord,Eemsdijk,rare,no,
s0082,D. Pelovic,85,RB|RM,Japonia,Bundesklasse,Adlerberg,rare,no,
s0083,D. Valoulos,85,CAM|CF,Osteria,Premier Division,Denholm Rovers,rare,no,
s0084,M. Kalkova,85,RM|RW,Norvegia,Liga Primera,Bellamar,rare,no,
s0085,K. Lunmann,85,GK,Batavia,Saudi Elite,Al Qamar,rare,no,
s0086,N. Voroulos,85,CDM|CM,Turkia,Saudi Elite,Al Qamar,rare,no,
s0087,A. Nurzaki,85,RM|RW,Batavia,Bundesklasse,Dornbach,rare,no,
s0088,F. Raszaki,85,ST|CF,Koria,Serie Prima,Aterno,rare,no,
s0089,E. Marsson,85,ST|CF,Japonia,Eredivisie Noord,Aalsmeer,rare,no,
s0090,A. Fenoulos,85,CM|CAM,Senegalia,Ligue Premiere,Estrelle,rare,yes,
s0091,S. Dalridge,85,LW|ST,Germania,Ligue Premiere,Aubertin,rare,no,
s0092,D. Sorsson,85,CAM|CF,Rioverde,Premier Division,Eastgate,rare,no,
s0093,B. Rasridge,85,CM,Francia,Liga Primera,Castellano,rare,no,
s0094,V. Cavmann,85,GK,Polonia,Premier Division,Brackley City,rare,no,
s0095,D. Valgaard,85,CB,Hispania,Serie Prima,Cerveto,rare,no,
s0096,F. Nurescu,85,LB|LM,Japonia,Premier Division,Comberton,rare,no,
s0097,S. Hantinez,85,CM|CAM,Caledonia,Liga Sul,Aracaju FC,rare,no,
s0098,H. Sorderse,85,LB|LM,Marokka,Liga Sul,Barreiro,rare,no,
s0099,L. Kalley,85,LM|LW,Caledonia,Ligue Premiere,Aubertin,rare,no,
s0100,J. Dalstad,85,CB|LB,Koria,Saudi Elite,Al Farid,rare,no,
s0101,L. Rasderse,85,GK,Turkia,Liga Sul,Diamantina,rare,no,
s0102,S. Dalinho,85,LM|LW,Japonia,Ligue Premiere,Chalonne,rare,no,
s0103,K. Kalnardo,85,CB,Marokka,Saudi Elite,Al Rakan,rare,no,
s0104,G. Tamley,85,CAM|CF,Lusitania,Bundesklasse,Dornbach,rare,no,
s0105,N. Rensson,84,CM|CAM,Senegalia,Eredivisie Noord,Dinxperlo,rare,no,
s0106,K. Haninho,84,CB,Osteria,Premier Division,Comberton,rare,no,
s0107,J. Berridge,84,ST|CF,Francia,Saudi Elite,Al Rakan,rare,yes,
s0108,T. Pelescu,84,ST,Koria,Ligue Premiere,Beaufort,rare,yes,
s0109,A. Gorinho,84,CM,Polonia,Bundesklasse,Eichwald,rare,no,
s0110,T. Valstad,84,CM,Lusitania,Premier Division,Ashford United,rare,no,
s0111,F. Lunstad,84,ST,Hispania,Liga Primera,Duranza,rare,no,
s0112,R. Sorescu,84,GK,Batavia,Saudi Elite,Al Qamar,totw,no,
s0113,H. Hanovic,84,GK,Hispania,Serie Prima,Aterno,rare,yes,
s0114,L. Valtinez,84,LM|LW,Senegalia,Liga Sul,Diamantina,rare,no,
s0115,L. Dalridge,84,CAM|CF,Koria,Liga Primera,Fuentes,rare,yes,
s0116,K. Lunkova,84,LM|LW,Albion,Bundesklasse,Brandhof,rare,no,
s0117,K. Rastinez,84,LB|LM,Turkia,Ligue Premiere,Dumarais,rare,no,
s0118,M. Pelovic,84,GK,Caledonia,Bundesklasse,Dornbach,rare,no,
s0119,A. Gorzaki,84,LM|LW,Polonia,Premier Division,Fairhaven,totw,no,
s0120,R. Tamovic,84,CB|RB,Germania,Ligue Premiere,Estrelle,rare,no,
s0121,J. Cavsson,84,CB|RB,Norvegia,Saudi Elite,Al Bahri,rare,no,
s0122,G. Rasoulos,84,CB,Koria,Bundesklasse,Freistadt,rare,no,
s0123,E. Vorinho,84,LB|LM,Francia,Saudi Elite,Al Rakan,rare,no,
s0124,T. Dalgaard,84,ST|CF,Quebeca,Bundesklasse,Freistadt,rare,no,
s0125,C. Luntinez,84,LW|ST,Polonia,Premier Division,Eastgate,rare,no,
s0126,M. Hanescu,84,CAM|CF,Japonia,Eredivisie Noord,Eemsdijk,rare,no,
s0127,E. Pelderse,84,RM|RW,Marokka,Bundesklasse,Brandhof,rare,no,
s0128,R. Fenovic,84,ST,Hispania,Eredivisie Noord,Cuijkstad,rare,no,
s0129,F. Tamnardo,84,ST|CF,Caledonia,Eredivisie Noord,Dinxperlo,rare,no,
s0130,R. Rasoulos,84,RW|ST,Eiretown,Saudi Elite,Al Bahri,totw,no,
s0131,V. Cavkova,84,CDM|CM,Batavia,Liga Primera,Alcazar,rare,no,
s0132,M. Rasderse,84,ST,Senegalia,Bundesklasse,Brandhof,rare,no,
s0133,M. Vorridge,84,CM,Hispania,Premier Division,Brackley City,rare,no,
s0134,C. Valkova,84,LB|LM,Marokka,Liga Sul,Diamantina,rare,no,
s0135,A. Beraoui,84,CB,Norvegia,Serie Prima,Cerveto,rare,no,
s0136,T. Gormann,84,ST,Germania,Liga Sul,Barreiro,rare,no,
s0137,A. Valstad,84,CM,Rioverde,Premier Division,Fairhaven,rare,no,
s0138,V. Berstad,84,RB|RM,Lusitania,Bundesklasse,Adlerberg,rare,no,
s0139,P. Markova,84,CB|LB,Japonia,Serie Prima,Aterno,rare,yes,
s0140,B. Hanridge,84,RM|RW,Batavia,Serie Prima,Doriano,rare,yes,
s0141,F. Renderse,84,CM,Polonia,Ligue Premiere,Fontenay,rare,no,
s0142,L. Bermann,84,LW|ST,Batavia,Ligue Premiere,Chalonne,rare,no,
s0143,M. Cavstad,84,CB|RB,Hispania,Liga Primera,Duranza,rare,no,
s0144,H. Rasoulos,84,LM|LW,Italica,Serie Prima,Boldini,rare,no,
s0145,B. Renzaki,84,CB,Albion,Liga Sul,Estrela,rare,yes,
s0146,P. Valaoui,84,CB|LB,Turkia,Saudi Elite,Al Qamar,rare,no,
s0147,G. Berstad,84,CM,Caledonia,Ligue Premiere,Aubertin,rare,no,
s0148,D. Hanovic,84,CM,Albion,Bundesklasse,Eichwald,rare,no,
s0149,A. Pelkova,84,CAM|CF,Italica,Eredivisie Noord,Cuijkstad,rare,no,
s0150,D. Lunmann,84,ST|CF,Hispania,Liga Primera,Duranza,rare,no,
s0151,D. Ostinho,84,RW|ST,Japonia,Bundesklasse,Freistadt,rare,no,
s0152,K. Sortinez,84,GK,Lusitania,Liga Primera,Alcazar,rare,no,
s0153,M. Nurzaki,84,CB|RB,Germania,Liga Sul,Estrela,rare,no,
s0154,C. Gorley,84,ST|CF,Osteria,Liga Primera,Alcazar,rare,no,
s0155,P. Pelderse,84,CAM|CF,Francia,Bundesklasse,Dornbach,rare,no,
s0156,G. Rasinho,84,LW|ST,Rioverde,Bundesklasse,Brandhof,rare,no,
s0157,G. Nurkova,84,CB|RB,Koria,Eredivisie Noord,Broekhof,rare,no,
s0158,H. Ostnardo,84,LW|ST,Senegalia,Bundesklasse,Adlerberg,rare,yes,
s0159,C. Cavoulos,83,CB|LB,Rioverde,Eredivisie Noord,Eemsdijk,rare,no,
s0160,A. Nuraoui,83,CB,Albion,Saudi Elite,Al Qamar,rare,no,
s0161,D. Fennardo,83,CB|LB,Caledonia,Eredivisie Noord,Aalsmeer,rare,no,
s0162,C. Fenstad,83,ST,Polonia,Bundesklasse,Coburg SV,rare,no,
s0163,J. Tamridge,83,CB|RB,Eiretown,Bundesklasse,Coburg SV,rare,no,
s0164,G. Kalgaard,83,CB|RB,Danmarken,Premier Division,Denholm Rovers,rare,no,
s0165,R. Valinho,83,CDM|CM,Koria,Liga Primera,Bellamar,rare,no,
s0166,C. Kalnardo,83,CB|RB,Italica,Serie Prima,Cerveto,rare,yes,
s0167,V. Fennardo,83,CB,Japonia,Serie Prima,Doriano,rare,no,
s0168,G. Voraoui,83,LW|ST,Koria,Bundesklasse,Adlerberg,rare,no,
s0169,B. Cavinho,83,ST,Batavia,Liga Sul,Estrela,rare,no,
s0170,L. Rasoulos,83,RW|ST,Eiretown,Ligue Premiere,Estrelle,rare,no,
s0171,K. Cavstad,83,ST|CF,Osteria,Saudi Elite,Al Farid,rare,no,
s0172,T. Cavescu,83,CM|CAM,Norvegia,Eredivisie Noord,Dinxperlo,rare,no,
s0173,S. Fenley,83,ST|CF,Germania,Saudi Elite,Al Farid,rare,no,
s0174,F. Maroulos,83,ST,Lusitania,Liga Sul,Cascavel,rare,no,
s0175,A. Nurescu,83,RB|RM,Osteria,Liga Primera,Elvira CF,rare,no,
s0176,G. Rasovic,83,ST,Norvegia,Saudi Elite,Al Qamar,rare,no,
s0177,B. Kalkova,83,LM|LW,Norvegia,Bundesklasse,Eichwald,rare,no,
s0178,T. Maraoui,83,RB|RM,Danmarken,Eredivisie Noord,Dinxperlo,rare,no,
s0179,A. Cavley,83,ST|CF,Turkia,Bundesklasse,Eichwald,rare,no,
s0180,G. Hanley,83,ST,Polonia,Eredivisie Noord,Aalsmeer,rare,no,
s0181,E. Sorgaard,83,RM|RW,Lusitania,Liga Primera,Duranza,rare,no,
s0182,P. Cavley,83,CDM|CM,Albion,Liga Sul,Estrela,rare,no,
s0183,P. Rasmann,83,ST|CF,Germania,Liga Primera,Elvira CF,rare,no,
s0184,S. Kaloulos,83,CB|RB,Danmarken,Liga Primera,Alcazar,rare,no,
s0185,A. Berderse,83,RW|ST,Marokka,Ligue Premiere,Chalonne,totw,no,
s0186,L. Fenley,83,CDM|CM,Danmarken,Bundesklasse,Freistadt,rare,no,
s0187,D. Hanridge,83,LW|ST,Francia,Liga Primera,Duranza,rare,no,
s0188,K. Fenaoui,83,ST,Marokka,Liga Sul,Barreiro,rare,no,
s0189,F. Nurstad,83,LW|ST,Danmarken,Liga Sul,Aracaju FC,rare,no,
s0190,B. Rasgaard,83,LW|ST,Danmarken,Serie Prima,Emporia,rare,yes,
s0191,S. Pelstad,83,CAM|CF,Turkia,Ligue Premiere,Beaufort,rare,no,
s0192,R. Oststad,83,CM,Caledonia,Premier Division,Comberton,rare,no,
s0193,B. Dalescu,83,CAM|CF,Polonia,Ligue Premiere,Aubertin,rare,yes,
s0194,M. Cavley,83,RB|RM,Francia,Ligue Premiere,Dumarais,rare,no,
s0195,F. Sorkova,83,GK,Danmarken,Liga Sul,Aracaju FC,totw,no,
s0196,N. Fenescu,83,CAM|CF,Quebeca,Saudi Elite,Al Qamar,totw,no,
s0197,S. Dalderse,83,CM,Lusitania,Liga Primera,Fuentes,rare,no,
s0198,N. Dalstad,83,CDM|CM,Norvegia,Liga Primera,Castellano,rare,yes,
s0199,F. Valovic,83,CM,Eiretown,Ligue Premiere,Estrelle,totw,no,
s0200,P. Marinho,83,ST,Lusitania,Bundesklasse,Adlerberg,rare,no,
s0201,C. Valley,83,CM|CAM,Koria,Eredivisie Noord,Aalsmeer,rare,no,
s0202,D. Dalaoui,83,CB|RB,Rioverde,Saudi Elite,Al Bahri,rare,no,
s0203,J. Vorkova,83,ST,Rioverde,Saudi Elite,Al Farid,rare,no,
s0204,M. Nurstad,83,CM,Batavia,Eredivisie Noord,Cuijkstad,rare,no,
s0205,J. Nurstad,83,RB|RM,Italica,Liga Primera,Alcazar,totw,no,
s0206,B. Tamderse,83,CB,Lusitania,Liga Primera,Bellamar,rare,no,
s0207,D. Dalnardo,83,LW|ST,Albion,Premier Division,Fairhaven,rare,yes,
s0208,K. Bernardo,83,RB|RM,Osteria,Liga Sul,Diamantina,rare,yes,
s0209,B. Vorridge,83,GK,Albion,Liga Primera,Fuentes,rare,no,
s0210,G. Fennardo,83,CB,Batavia,Liga Sul,Cascavel,rare,no,
s0211,T. Lunescu,83,CB|RB,Caledonia,Saudi Elite,Al Qamar,rare,no,
s0212,P. Sorinho,83,GK,Polonia,Liga Sul,Estrela,rare,no,
s0213,P. Tamsson,83,LW|ST,Osteria,Liga Primera,Duranza,rare,no,
s0214,C. Tammann,83,RB|RM,Japonia,Premier Division,Fairhaven,rare,no,
s0215,G. Kalescu,83,ST|CF,Albion,Liga Primera,Duranza,rare,no,
s0216,A. Ostescu,83,RW|ST,Norvegia,Saudi Elite,Al Qamar,rare,no,
s0217,R. Sorley,83,CB|LB,Marokka,Eredivisie Noord,Eemsdijk,rare,no,
s0218,V. Kalescu,83,LM|LW,Marokka,Ligue Premiere,Aubertin,rare,no,
s0219,A. Dalley,82,CB,Osteria,Liga Primera,Duranza,rare,no,
s0220,T. Soraoui,82,LM|LW,Germania,Premier Division,Eastgate,rare,no,
s0221,B. Rennardo,82,ST,Quebeca,Ligue Premiere,Chalonne,rare,no,
s0222,L. Rensson,82,CB|RB,Osteria,Serie Prima,Cerveto,rare,no,
s0223,C. Tamsson,82,CB,Lusitania,Premier Division,Comberton,rare,no,
s0224,H. Hanmann,82,CM,Albion,Premier Division,Comberton,rare,no,
s0225,S. Valtinez,82,CAM|CF,Albion,Premier Division,Ashford United,rare,no,
s0226,D. Rasstad,82,CM|CAM,Quebeca,Liga Sul,Diamantina,rare,yes,
s0227,K. Renley,82,RB|RM,Italica,Eredivisie Noord,Dinxperlo,rare,no,
s0228,S. Hanescu,82,RB|RM,Japonia,Bundesklasse,Freistadt,rare,no,
s0229,R. Raszaki,82,RM|RW,Lusitania,Saudi Elite,Al Qamar,rare,no,
s0230,S. Kalridge,82,CM,Hispania,Liga Sul,Aracaju FC,rare,no,
s0231,P. Lunzaki,82,LB|LM,Osteria,Premier Division,Ashford United,rare,no,
s0232,J. Valinho,82,ST,Lusitania,Saudi Elite,Al Qamar,rare,no,
s0233,N. Tamsson,82,CDM|CM,Lusitania,Liga Primera,Castellano,totw,no,
s0234,T. Rasovic,82,CAM|CF,Lusitania,Premier Division,Comberton,rare,no,
s0235,R. Kaloulos,82,CB|RB,Japonia,Liga Primera,Alcazar,rare,no,
s0236,V. Ostgaard,82,CB|RB,Italica,Eredivisie Noord,Aalsmeer,rare,no,
s0237,G. Dalovic,82,RB|RM,Albion,Liga Primera,Castellano,rare,no,
s0238,H. Fenmann,82,RW|ST,Quebeca,Saudi Elite,Al Farid,rare,yes,
s0239,G. Hannardo,82,ST,Lusitania,Saudi Elite,Al Bahri,rare,no,
s0240,P. Gorkova,82,CM,Japonia,Liga Primera,Duranza,rare,no,
s0241,J. Hanridge,82,CDM|CM,Eiretown,Premier Division,Denholm Rovers,rare,no,
s0242,D. Rasridge,82,LM|LW,Koria,Eredivisie Noord,Aalsmeer,rare,no,
s0243,C. Ostovic,82,CDM|CM,Marokka,Liga Primera,Elvira CF,rare,no,
s0244,R. Gorkova,82,CB|LB,Francia,Saudi Elite,Al Rakan,rare,no,
s0245,S. Voraoui,82,CB|RB,Lusitania,Saudi Elite,Al Farid,rare,no,
s0246,C. Rasderse,82,RM|RW,Eiretown,Saudi Elite,Al Rakan,rare,no,
s0247,J. Daloulos,82,RB|RM,Germania,Premier Division,Denholm Rovers,rare,no,
s0248,S. Renoulos,82,LB|LM,Senegalia,Saudi Elite,Al Rakan,rare,no,
s0249,S. Tamzaki,82,GK,Turkia,Serie Prima,Boldini,rare,no,
s0250,M. Vorescu,82,LW|ST,Albion,Serie Prima,Doriano,rare,no,
s0251,C. Tamtinez,82,GK,Senegalia,Saudi Elite,Al Rakan,rare,no,
s0252,F. Tamescu,82,CAM|CF,Senegalia,Ligue Premiere,Aubertin,totw,no,
s0253,J. Vorescu,82,RB|RM,Eiretown,Eredivisie Noord,Broekhof,rare,no,
s0254,V. Tamsson,82,CB|LB,Quebeca,Liga Sul,Barreiro,rare,no,
s0255,A. Gormann,82,CDM|CM,Germania,Liga Primera,Alcazar,rare,no,
s0256,A. Handerse,82,LW|ST,Hispania,Liga Primera,Alcazar,rare,no,
s0257,R. Nursson,82,GK,Italica,Ligue Premiere,Aubertin,rare,no,
s0258,E. Valgaard,82,RW|ST,Quebeca,Liga Sul,Aracaju FC,rare,no,
s0259,J. Pelnardo,82,ST,Rioverde,Eredivisie Noord,Dinxperlo,rare,no,
s0260,C. Sorley,82,CB|LB,Hispania,Liga Sul,Estrela,rare,no,
s0261,J. Soraoui,82,CB,Lusitania,Ligue Premiere,Fontenay,rare,no,
s0262,G. Cavinho,82,CB|RB,Danmarken,Serie Prima,Boldini,rare,no,
s0263,F. Hanley,82,CB,Lusitania,Serie Prima,Aterno,totw,no,
s0264,D. Goraoui,82,RB|RM,Marokka,Liga Primera,Fuentes,totw,no,
s0265,A. Ostmann,82,ST|CF,Germania,Serie Prima,Emporia,rare,no,
s0266,M. Sorzaki,82,LW|ST,Koria,Ligue Premiere,Fontenay,totw,no,
s0267,D. Fentinez,82,RB|RM,Norvegia,Liga Sul,Aracaju FC,rare,no,
s0268,J. Pelovic,82,RB|RM,Osteria,Ligue Premiere,Estrelle,rare,no,
s0269,B. Reninho,82,CDM|CM,Eiretown,Premier Division,Ashford United,rare,yes,
s0270,M. Fenmann,82,CB|RB,Japonia,Ligue Premiere,Estrelle,rare,no,
s0271,H. Valoulos,82,ST,Batavia,Ligue Premiere,Chalonne,rare,no,
s0272,M. Sorstad,82,CB|RB,Japonia,Bundesklasse,Brandhof,rare,no,
s0273,M. Fentinez,82,GK,Senegalia,Liga Primera,Elvira CF,rare,no,
s0274,P. Valoulos,82,LM|LW,Turkia,Liga Sul,Diamantina,rare,no,
s0275,A. Fenkova,82,ST,Albion,Serie Prima,Emporia,rare,no,
s0276,N. Vorzaki,82,LB|LM,Caledonia,Saudi Elite,Al Qamar,rare,yes,
s0277,P. Dalinho,82,LM|LW,Albion,Liga Primera,Castellano,rare,no,
s0278,T. Bermann,82,CAM|CF,Lusitania,Serie Prima,Fiorente,rare,no,
s0279,M. Rasstad,82,CB,Quebeca,Eredivisie Noord,Broekhof,rare,no,
s0280,L. Bertinez,82,GK,Koria,Liga Primera,Duranza,rare,no,
s0281,D. Renley,81,ST|CF,Danmarken,Eredivisie Noord,Eemsdijk,rare,yes,
s0282,T. Hanmann,81,CM|CAM,Senegalia,Liga Sul,Diamantina,rare,no,
s0283,E. Hanoulos,81,CB,Quebeca,Bundesklasse,Dornbach,rare,no,
s0284,L. Rastinez,81,RM|RW,Caledonia,Ligue Premiere,Dumarais,rare,no,
s0285,A. Nurstad,81,ST,Italica,Saudi Elite,Al Rakan,rare,no,
s0286,L. Kalovic,81,LB|LM,Francia,Eredivisie Noord,Cuijkstad,rare,no,
s0287,N. Hantinez,81,LB|LM,Danmarken,Premier Division,Fairhaven,rare,yes,
s0288,P. Cavovic,81,LM|LW,Hispania,Premier Division,Fairhaven,rare,no,
s0289,P. Marovic,81,CAM|CF,Albion,Bundesklasse,Coburg SV,rare,no,
s0290,F. Gorovic,81,LW|ST,Osteria,Liga Primera,Duranza,rare,no,
s0291,D. Pelderse,81,CAM|CF,Albion,Saudi Elite,Al Rakan,rare,no,
s0292,H. Berinho,81,RW|ST,Polonia,Premier Division,Eastgate,rare,no,
s0293,A. Cavstad,81,RW|ST,Caledonia,Saudi Elite,Al Qamar,rare,no,
s0294,N. Cavderse,81,CM|CAM,Italica,Serie Prima,Aterno,rare,no,
s0295,N. Fenkova,81,CM|CAM,Italica,Bundesklasse,Freistadt,rare,no,
s0296,F. Dalovic,81,CAM|CF,Norvegia,Liga Sul,Cascavel,rare,no,
s0297,F. Tamley,81,CDM|CM,Rioverde,Serie Prima,Doriano,rare,no,
s0298,L. Sorstad,81,ST|CF,Marokka,Ligue Premiere,Dumarais,rare,yes,
s0299,G. Cavgaard,81,ST|CF,Italica,Ligue Premiere,Dumarais,rare,yes,
s0300,B. Fenridge,81,ST,Norvegia,Liga Primera,Castellano,rare,no,
s0301,T. Rennardo,81,CDM|CM,Eiretown,Eredivisie Noord,Broekhof,rare,no,
s0302,V. Pelzaki,81,RB|RM,Eiretown,Liga Primera,Castellano,rare,no,
s0303,L. Valzaki,81,CB,Batavia,Serie Prima,Fiorente,rare,no,
s0304,H. Haninho,81,ST,Italica,Eredivisie Noord,Eemsdijk,rare,no,
s0305,K. Rasmann,81,LW|ST,Eiretown,Saudi Elite,Al Bahri,rare,no,
s0306,N. Gorinho,81,CB|RB,Marokka,Premier Division,Fairhaven,rare,no,
s0307,A. Dalsson,81,ST|CF,Albion,Eredivisie Noord,Dinxperlo,rare,no,
s0308,F. Peloulos,81,CB|RB,Albion,Saudi Elite,Al Bahri,rare,yes,
s0309,A. Bermann,81,CB|RB,Albion,Ligue Premiere,Dumarais,rare,no,
s0310,S. Sorescu,81,GK,Polonia,Premier Division,Comberton,rare,yes,
s0311,A. Sorkova,81,RW|ST,Germania,Liga Sul,Aracaju FC,rare,no,
s0312,D. Nurovic,81,ST|CF,Batavia,Ligue Premiere,Beaufort,rare,no,
s0313,F. Kalmann,81,RM|RW,Osteria,Eredivisie Noord,Aalsmeer,rare,yes,
