defId,quantity,pool,untradeable,isLoan,isEvolved,locked,inActiveSquad,estimatedPrice,positionOverride,squadName,favourite,observed
s0027,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0028,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0029,1,club,yes,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0030,2,club,no,no,no,no,yes,4200,,Starting XI,,untradeable|isLoan|inActiveSquad
s0031,2,club,no,no,no,no,no,4200,,,,isLoan|inActiveSquad
s0032,2,club,no,no,no,no,yes,4200,,Starting XI,,untradeable|isLoan|inActiveSquad
s0033,2,club,yes,no,no,no,yes,4200,,Starting XI,,untradeable|isLoan|inActiveSquad
s0034,2,club,yes,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0035,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0036,1,club,no,no,no,no,no,4200,,,,isLoan|inActiveSquad
s0037,1,club,yes,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0038,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0039,1,club,no,no,no,no,yes,4200,,Starting XI,,untradeable|isLoan|inActiveSquad
s0040,1,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0041,1,club,no,no,no,no,no,4200,,,,isLoan|inActiveSquad
s0042,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0043,1,club,no,no,no,no,yes,4200,,Starting XI,,untradeable|isLoan|inActiveSquad
s0044,1,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0045,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0046,1,club,no,no,no,no,no,4200,,,,isLoan|inActiveSquad
s0047,1,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0048,1,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0049,1,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0050,1,club,no,no,no,no,yes,4200,,Starting XI,,untradeable|isLoan|inActiveSquad
s0051,1,club,no,no,no,no,no,4200,,,,isLoan|inActiveSquad
s0052,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0053,1,club,no,no,no,no,yes,4200,,Starting XI,,untradeable|isLoan|inActiveSquad
s0054,1,club,yes,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0055,1,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0056,2,club,no,no,no,no,no,4200,,,,isLoan|inActiveSquad
s0057,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0058,1,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0059,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0060,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0061,1,club,no,no,no,no,no,2700,,,,isLoan|inActiveSquad
s0062,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0063,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0064,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0065,2,club,yes,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0066,1,club,no,no,no,no,no,2700,,,,isLoan|inActiveSquad
s0067,2,club,yes,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0068,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0069,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0070,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0071,2,club,no,no,no,no,no,2700,,,,isLoan|inActiveSquad
s0072,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0073,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0074,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0075,1,club,yes,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0076,2,club,no,no,no,no,no,2700,,,,isLoan|inActiveSquad
s0077,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0078,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0079,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0080,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0081,1,club,no,no,no,no,no,2700,,,,isLoan|inActiveSquad
s0082,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0083,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0084,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0085,1,club,yes,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0086,2,club,no,no,no,no,no,2700,,,,isLoan|inActiveSquad
s0087,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0088,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0089,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0090,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0091,2,club,no,no,no,no,no,2700,,,,isLoan|inActiveSquad
s0092,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0093,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0094,1,club,yes,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0095,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0096,1,club,no,no,no,no,no,2700,,,,isLoan|inActiveSquad
s0097,2,club,yes,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0098,2,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0099,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0100,1,club,yes,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0101,1,club,no,no,no,no,no,2700,,,,isLoan|inActiveSquad
s0102,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0103,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0104,1,club,no,no,no,no,no,2700,,,,untradeable|isLoan|inActiveSquad
s0105,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0106,2,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0107,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0108,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0109,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0110,2,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0111,2,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0112,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0113,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0114,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0115,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0116,1,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0117,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0118,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0119,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0120,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0121,2,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0122,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0123,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0124,1,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0125,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0126,2,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0127,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0128,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0129,1,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0130,2,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0131,1,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0132,1,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0133,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0134,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0135,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0136,2,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0137,1,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0138,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0139,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0140,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0141,2,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0142,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0143,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0144,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0145,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0146,2,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0147,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0148,1,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0149,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0150,1,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0151,1,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0152,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0153,2,club,no,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0154,2,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0155,1,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0156,2,club,no,no,no,no,no,1900,,,,isLoan|inActiveSquad
s0157,2,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0158,1,club,yes,no,no,no,no,1900,,,,untradeable|isLoan|inActiveSquad
s0159,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0160,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0161,3,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0162,2,club,yes,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0163,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0164,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0165,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0166,3,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0167,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0168,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0169,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0170,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0171,1,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0172,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0173,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0174,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0175,3,club,yes,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0176,3,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0177,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0178,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0179,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0180,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0181,1,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0182,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0183,1,club,yes,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0184,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0185,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0186,3,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0187,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0188,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0189,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0190,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0191,2,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0192,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0193,1,club,yes,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0194,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0195,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0196,1,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0197,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0198,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0199,3,club,yes,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0200,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0201,2,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0202,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0203,3,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0204,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0205,3,club,yes,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0206,3,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0207,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0208,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0209,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0210,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0211,2,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0212,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0213,1,club,yes,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0214,1,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0215,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0216,2,club,no,no,no,no,no,1400,,,,isLoan|inActiveSquad
s0217,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0218,2,club,no,no,no,no,no,1400,,,,untradeable|isLoan|inActiveSquad
s0219,1,club,yes,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0220,2,club,yes,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0221,3,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0222,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0223,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0224,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0225,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0226,3,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0227,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0228,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0229,2,club,yes,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0230,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0231,2,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0232,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0233,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0234,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0235,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0236,1,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0237,2,club,yes,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0238,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0239,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0240,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0241,1,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0242,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0243,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0244,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0245,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0246,2,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0247,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0248,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0249,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0250,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0251,2,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0252,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0253,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0254,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0255,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0256,2,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0257,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0258,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0259,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0260,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0261,1,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0262,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0263,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0264,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0265,2,club,yes,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0266,3,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0267,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0268,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0269,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0270,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0271,2,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0272,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0273,2,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0274,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0275,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0276,2,club,no,no,no,no,no,1100,,,,isLoan|inActiveSquad
s0277,1,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0278,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0279,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0280,3,club,no,no,no,no,no,1100,,,,untradeable|isLoan|inActiveSquad
s0281,2,club,no,no,no,no,no,900,,,,isLoan|inActiveSquad
s0282,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0283,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0284,3,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0285,3,club,yes,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0286,2,club,no,no,no,no,no,900,,,,isLoan|inActiveSquad
s0287,1,club,yes,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0288,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0289,3,club,yes,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0290,1,club,yes,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0291,3,club,no,no,no,no,no,900,,,,isLoan|inActiveSquad
s0292,3,club,yes,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0293,3,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0294,1,club,yes,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0295,1,club,yes,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0296,3,club,no,no,no,no,no,900,,,,isLoan|inActiveSquad
s0297,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0298,2,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0299,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0300,1,club,yes,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0301,3,club,no,no,no,no,no,900,,,,isLoan|inActiveSquad
s0302,3,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0303,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0304,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0305,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0306,3,club,no,no,no,no,no,900,,,,isLoan|inActiveSquad
s0307,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0308,2,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0309,2,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0310,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0311,2,club,no,no,no,no,no,900,,,,isLoan|inActiveSquad
s0312,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0313,3,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0314,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0315,3,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0316,3,club,no,no,no,no,no,900,,,,isLoan|inActiveSquad
s0317,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0318,2,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0319,2,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0320,1,club,no,no,no,no,no,900,,,,untradeable|isLoan|inActiveSquad
s0321,2,club,no,no,no,no,no,750,,,,isLoan|inActiveSquad
s0322,2,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0323,3,club,yes,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0324,1,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0325,1,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0326,3,club,no,no,no,no,no,750,,,,isLoan|inActiveSquad
s0327,1,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0328,1,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0329,3,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0330,1,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0331,2,club,no,no,no,no,no,750,,,,isLoan|inActiveSquad
s0332,2,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0333,1,club,yes,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0334,1,club,yes,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0335,3,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
s0336,2,club,no,no,no,no,no,750,,,,isLoan|inActiveSquad
s0337,1,club,no,no,no,no,no,750,,,,untradeable|isLoan|inActiveSquad
